url_length,domain_length,subdomain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,num_special_chars,num_sensitive_words,has_@,has_https,has_ip,has_suspicious_tld,is_shortened,label
25,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
48,9,6,28,2,1,0,2,0,0,0,0,0,0,0,0,1
73,7,0,35,1,0,3,2,5,6,0,0,0,0,0,0,0
24,9,0,11,1,0,0,2,0,0,0,0,0,0,0,0,1
77,6,0,37,2,1,0,3,9,4,0,0,0,0,0,0,0
21,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
54,14,0,40,4,2,1,5,11,0,0,0,0,1,0,0,1
35,14,0,17,1,1,0,2,3,0,0,0,0,0,0,0,1
239,14,121,99,12,4,0,8,51,1,2,0,0,0,0,0,0
48,11,0,1,1,1,0,1,5,7,0,0,0,0,0,0,0
39,11,0,24,1,0,0,5,1,0,0,0,0,0,0,0,0
34,9,2,18,2,0,1,2,0,0,0,0,0,0,0,0,0
17,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
19,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
59,16,0,10,1,0,0,1,1,6,0,0,0,0,0,0,1
84,7,0,73,1,6,0,3,12,1,0,0,0,0,0,0,0
41,4,12,21,3,1,0,2,5,0,0,0,0,0,0,0,1
43,8,0,31,1,1,0,3,9,0,0,0,0,0,0,0,0
36,6,0,26,1,1,0,3,0,0,0,0,0,0,0,0,1
93,8,0,82,2,2,0,7,21,0,1,0,0,0,0,0,1
25,10,0,11,1,0,0,3,3,0,0,0,0,0,0,0,0
20,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
223,18,0,10,2,0,2,1,12,38,0,0,0,0,0,0,1
89,19,7,58,3,5,0,3,6,0,0,0,0,0,0,0,0
106,7,0,14,2,3,1,2,8,10,0,0,0,0,0,0,1
58,7,0,24,2,0,0,2,1,7,0,0,0,0,0,0,0
53,29,0,20,1,0,0,2,2,4,0,0,0,0,0,0,0
74,19,0,51,2,4,0,3,6,0,0,0,0,0,0,0,0
98,11,0,81,4,7,0,3,0,0,0,0,0,0,0,0,1
31,7,0,6,1,1,0,1,0,2,0,0,0,0,0,0,0
77,2,0,71,1,8,0,2,6,0,0,0,0,0,0,0,0
119,5,0,110,1,2,0,3,38,32,0,0,0,0,0,0,0
93,6,0,14,6,1,0,8,8,6,1,0,0,0,0,0,0
70,4,6,19,5,0,0,6,0,2,1,0,0,0,0,0,1
32,3,15,9,7,0,0,1,8,0,0,0,0,1,0,0,1
26,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
35,10,0,22,2,0,0,3,0,0,0,0,0,0,0,0,1
71,22,0,36,2,1,0,4,0,2,0,0,0,0,0,0,1
19,8,0,7,1,0,0,1,1,0,0,0,0,0,0,0,1
48,5,0,40,1,2,0,4,3,0,0,0,0,0,0,0,1
29,9,0,16,2,0,0,1,0,0,1,0,0,0,0,0,1
186,4,0,11,3,4,0,1,77,34,0,0,0,0,0,0,1
28,13,0,11,2,0,0,1,0,0,0,0,0,0,0,0,0
28,13,10,0,2,0,0,0,3,0,0,0,0,0,0,0,1
36,7,0,13,3,0,0,1,2,2,0,0,0,0,0,0,1
37,20,0,1,1,0,1,1,3,2,0,0,0,0,0,0,0
32,14,0,15,2,0,0,2,0,0,0,0,0,0,0,0,1
77,25,0,10,3,0,1,1,3,6,0,0,0,0,0,0,1
120,10,0,98,1,16,0,2,10,2,0,0,0,0,0,0,0
11,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,5,0,24,3,0,0,3,2,0,0,0,0,0,0,0,1
28,11,0,14,2,0,0,1,0,0,0,0,0,0,0,0,0
